,index,key,file_name,file_path,jpg_path,cluster_index
144,144,4001327,4001327.jpg,data/raw/orignal_images/4001327.jpg,data/processed/transformed_images/4001327.jpg,29
145,145,3969579,3969579.jpg,data/raw/orignal_images/3969579.jpg,data/processed/transformed_images/3969579.jpg,-1
146,146,4000621,4000621.jpg,data/raw/orignal_images/4000621.jpg,data/processed/transformed_images/4000621.jpg,-1
147,147,4001515,4001515.jpg,data/raw/orignal_images/4001515.jpg,data/processed/transformed_images/4001515.jpg,-1
148,148,4001599,4001599.jpg,data/raw/orignal_images/4001599.jpg,data/processed/transformed_images/4001599.jpg,-1
149,149,5359380,5359380.jpg,data/raw/orignal_images/5359380.jpg,data/processed/transformed_images/5359380.jpg,1
150,150,5254769,5254769.jpg,data/raw/orignal_images/5254769.jpg,data/processed/transformed_images/5254769.jpg,-1
151,151,5339980,5339980.jpg,data/raw/orignal_images/5339980.jpg,data/processed/transformed_images/5339980.jpg,-1
152,152,4000099,4000099.jpg,data/raw/orignal_images/4000099.jpg,data/processed/transformed_images/4000099.jpg,-1
153,153,5338482,5338482.jpg,data/raw/orignal_images/5338482.jpg,data/processed/transformed_images/5338482.jpg,-1
154,154,4000287,4000287.jpg,data/raw/orignal_images/4000287.jpg,data/processed/transformed_images/4000287.jpg,-1
155,155,5338732,5338732.jpg,data/raw/orignal_images/5338732.jpg,data/processed/transformed_images/5338732.jpg,24
156,156,5236037,5236037.jpg,data/raw/orignal_images/5236037.jpg,data/processed/transformed_images/5236037.jpg,-1
157,157,4000023,4000023.jpg,data/raw/orignal_images/4000023.jpg,data/processed/transformed_images/4000023.jpg,-1
158,158,4001335,4001335.jpg,data/raw/orignal_images/4001335.jpg,data/processed/transformed_images/4001335.jpg,-1
159,159,3999957,3999957.jpg,data/raw/orignal_images/3999957.jpg,data/processed/transformed_images/3999957.jpg,23
160,160,4001589,4001589.jpg,data/raw/orignal_images/4001589.jpg,data/processed/transformed_images/4001589.jpg,-1
161,161,4001043,4001043.jpg,data/raw/orignal_images/4001043.jpg,data/processed/transformed_images/4001043.jpg,-1
162,162,5251426,5251426.jpg,data/raw/orignal_images/5251426.jpg,data/processed/transformed_images/5251426.jpg,-1
163,163,4000201,4000201.jpg,data/raw/orignal_images/4000201.jpg,data/processed/transformed_images/4000201.jpg,-1
164,164,5359528,5359528.jpg,data/raw/orignal_images/5359528.jpg,data/processed/transformed_images/5359528.jpg,-1
165,165,4000473,4000473.jpg,data/raw/orignal_images/4000473.jpg,data/processed/transformed_images/4000473.jpg,-1
166,166,5326504,5326504.jpg,data/raw/orignal_images/5326504.jpg,data/processed/transformed_images/5326504.jpg,-1
167,167,5254831,5254831.jpg,data/raw/orignal_images/5254831.jpg,data/processed/transformed_images/5254831.jpg,-1
168,168,5338502,5338502.jpg,data/raw/orignal_images/5338502.jpg,data/processed/transformed_images/5338502.jpg,-1
169,169,5234032,5234032.jpg,data/raw/orignal_images/5234032.jpg,data/processed/transformed_images/5234032.jpg,-1
170,170,4000375,4000375.jpg,data/raw/orignal_images/4000375.jpg,data/processed/transformed_images/4000375.jpg,46
171,171,4000089,4000089.jpg,data/raw/orignal_images/4000089.jpg,data/processed/transformed_images/4000089.jpg,47
172,172,4000025,4000025.jpg,data/raw/orignal_images/4000025.jpg,data/processed/transformed_images/4000025.jpg,-1
173,173,5338736,5338736.jpg,data/raw/orignal_images/5338736.jpg,data/processed/transformed_images/5338736.jpg,23
174,174,5338662,5338662.jpg,data/raw/orignal_images/5338662.jpg,data/processed/transformed_images/5338662.jpg,48
175,175,5316848,5316848.jpg,data/raw/orignal_images/5316848.jpg,data/processed/transformed_images/5316848.jpg,12
176,176,5338484,5338484.jpg,data/raw/orignal_images/5338484.jpg,data/processed/transformed_images/5338484.jpg,23
177,177,4000847,4000847.jpg,data/raw/orignal_images/4000847.jpg,data/processed/transformed_images/4000847.jpg,49
178,178,4000217,4000217.jpg,data/raw/orignal_images/4000217.jpg,data/processed/transformed_images/4000217.jpg,-1
179,179,5316664,5316664.jpg,data/raw/orignal_images/5316664.jpg,data/processed/transformed_images/5316664.jpg,-1
180,180,5360128,5360128.jpg,data/raw/orignal_images/5360128.jpg,data/processed/transformed_images/5360128.jpg,-1
181,181,5233811,5233811.jpg,data/raw/orignal_images/5233811.jpg,data/processed/transformed_images/5233811.jpg,-1
182,182,5359400,5359400.jpg,data/raw/orignal_images/5359400.jpg,data/processed/transformed_images/5359400.jpg,16
